# CCD_ID xc yc uc vc
1-1 -126.620648259303735017 143.397358943577415857 -0.292986111111111114 0.331805555555555520
1-2 -75.972388955582246695 143.397358943577415857 -0.175791666666666679 0.331805555555555520
1-3 -25.324129651860747714 143.397358943577415857 -0.058597222222222224 0.331805555555555520
2-1 -126.620648259303735017 86.038415366146466567 -0.292986111111111114 0.199083333333333334
2-2 -75.972388955582246695 86.038415366146466567 -0.175791666666666679 0.199083333333333334
2-3 -25.324129651860747714 86.038415366146466567 -0.058597222222222224 0.199083333333333334
3-1 -126.620648259303735017 28.679471788715485303 -0.292986111111111114 0.066361111111111107
3-2 -75.972388955582246695 28.679471788715485303 -0.175791666666666679 0.066361111111111107
3-3 -25.324129651860747714 28.679471788715485303 -0.058597222222222224 0.066361111111111107
4-1 -126.620648259303735017 -28.679471788715485303 -0.292986111111111114 -0.066361111111111107
4-2 -75.972388955582246695 -28.679471788715485303 -0.175791666666666679 -0.066361111111111107
4-3 -25.324129651860747714 -28.679471788715485303 -0.058597222222222224 -0.066361111111111107
5-1 -126.620648259303735017 -86.038415366146466567 -0.292986111111111114 -0.199083333333333334
5-2 -75.972388955582246695 -86.038415366146466567 -0.175791666666666679 -0.199083333333333334
5-3 -25.324129651860747714 -86.038415366146466567 -0.058597222222222224 -0.199083333333333334
6-1 -126.620648259303735017 -143.397358943577415857 -0.292986111111111114 -0.331805555555555520
6-2 -75.972388955582246695 -143.397358943577415857 -0.175791666666666679 -0.331805555555555520
6-3 -25.324129651860747714 -143.397358943577415857 -0.058597222222222224 -0.331805555555555520
1-6 126.620648259303735017 143.397358943577415857 0.292986111111111114 0.331805555555555520
1-5 75.972388955582246695 143.397358943577415857 0.175791666666666679 0.331805555555555520
1-4 25.324129651860747714 143.397358943577415857 0.058597222222222224 0.331805555555555520
2-6 126.620648259303735017 86.038415366146466567 0.292986111111111114 0.199083333333333334
2-5 75.972388955582246695 86.038415366146466567 0.175791666666666679 0.199083333333333334
2-4 25.324129651860747714 86.038415366146466567 0.058597222222222224 0.199083333333333334
3-6 126.620648259303735017 28.679471788715485303 0.292986111111111114 0.066361111111111107
3-5 75.972388955582246695 28.679471788715485303 0.175791666666666679 0.066361111111111107
3-4 25.324129651860747714 28.679471788715485303 0.058597222222222224 0.066361111111111107
4-6 126.620648259303735017 -28.679471788715485303 0.292986111111111114 -0.066361111111111107
4-5 75.972388955582246695 -28.679471788715485303 0.175791666666666679 -0.066361111111111107
4-4 25.324129651860747714 -28.679471788715485303 0.058597222222222224 -0.066361111111111107
5-6 126.620648259303735017 -86.038415366146466567 0.292986111111111114 -0.199083333333333334
5-5 75.972388955582246695 -86.038415366146466567 0.175791666666666679 -0.199083333333333334
5-4 25.324129651860747714 -86.038415366146466567 0.058597222222222224 -0.199083333333333334
6-6 126.620648259303735017 -143.397358943577415857 0.292986111111111114 -0.331805555555555520
6-5 75.972388955582246695 -143.397358943577415857 0.175791666666666679 -0.331805555555555520
6-4 25.324129651860747714 -143.397358943577415857 0.058597222222222224 -0.331805555555555520
